location_name,address,province,city,latitude,longitude,type,category
Aceh Besar - Bandara Iskandar Muda,Jl. Bandara Sultan Iskandar Muda,NANGGROE ACEH DARUSSALAM,ACEH BESAR,5.5177272,95.4170346,ATM (Tarik Tunai),ATM
Banda Aceh - CIMB Niaga Syariah Banda Aceh Peunayong,Jl. Ratu Syaifudin Banda Aceh No.33,NANGGROE ACEH DARUSSALAM,BANDA ACEH,5.569262,95.33637,ATM (Tarik Tunai),ATM
Bireuen - Suzuya Mall Bireuen,Jl. Malikussaleh,NANGGROE ACEH DARUSSALAM,BIREUEN,5.202153,96.703048,ATM (Tarik Tunai),ATM
Ambon - Alfa Swalayan Ambon,Jl. Wolter Monginsidi Latta,MALUKU,AMBON,-3.653699,128.227057,ATM (Tarik Tunai),ATM
Ambon - Ambon City Center,Jl. Wolter Monginsidi,MALUKU,AMBON,-3.633222,128.250099,ATM (Tarik Tunai),ATM
Ambon - Bandara Pattimura Ambon,Jl. Dr. Leimena,MALUKU,AMBON,-3.705048,128.089169,ATM (Tarik Tunai),ATM
Ambon - CIMB Niaga Sam Ratulangi,Jl. Sam Ratulangi No. 89,MALUKU,AMBON,-3.694307189,128.1793564,ATM (Tarik Tunai),ATM
Ambon - Maluku City Mall Ambon,Jl. Jend. Sudirman No 1,MALUKU,AMBON,-3.671409,128.199038,ATM (Tarik Tunai),ATM
Ambon - RM Sari Rasa II Guest House & resto,Jl. Ir M Putuhena Ambon,MALUKU,AMBON,-3.655378,128.186855,ATM (Tarik Tunai),ATM
Ambon - Swalayan Planet,Jl. NN Saar Sopacua Wainitu Ambon,MALUKU,AMBON,-3.7043334,128.1716615,ATM (Tarik Tunai),ATM
Ambon - Universitas Kristen Indonesia Maluku,Jl. OT.Pattimaipauw,MALUKU,AMBON,-3.702188,128.172378,ATM (Tarik Tunai),ATM
Badung - Alfamart Petitenget 2,Jl. Petitenget No 99 ,BALI,BADUNG,-8.676127341,115.1568088,ATM (Tarik Tunai),ATM
Denpasar - Arys Mikro Batanta,Jl. Pulau Batanta No 31 Denpasar,BALI,DENPASAR,-8.683223,115.199912,ATM (Tarik Tunai),ATM
Denpasar - Arys Mikro Trengguli,Jl. Trengguli Penatih Denpasar,BALI,DENPASAR,-8.624933,115.241076,ATM (Tarik Tunai),ATM
Badung - ATM Center Banjar Temacun,Jl. Majapahit No 1 Kuta,BALI,BADUNG,-8.722162,115.177968,ATM (Tarik Tunai),ATM
Badung - ATM Center Batu Bolong,Jl. Pantai Batu Bolong Canggu,BALI,BADUNG,-8.657828,115.130732,ATM (Tarik Tunai),ATM
Badung - ATM Center Batu Mejan,Jl. Batu Mejan Canggu,BALI,BADUNG,-8.653144,115.127461,ATM (Tarik Tunai),ATM
Badung - ATM Center Berawa,Jl. Pantai Berawa,BALI,BADUNG,-8.660507,115.142411,ATM (Tarik Tunai),ATM
Badung - ATM Center Berawa's kitchen,Jl. Raya Semat No 8 Tibubeneng,BALI,BADUNG,-8.656417,115.141083,ATM (Tarik Tunai),ATM
Badung - ATM Center Bintang Mart,Jl. Raya Dalung Permai,BALI,BADUNG,-8.6283,115.171583,ATM (Tarik Tunai),ATM
Gianyar - ATM Center Ceking Tegallalang,Jl. Tegallang,BALI,GIANYAR,-8.43317,115.278557,ATM (Tarik Tunai),ATM
Badung - ATM Center Central,"Jl. Raya Sibangkaja. Abiansemal, Badung",BALI,BADUNG,-8.564323,115.220701,ATM (Tarik Tunai),ATM
Gianyar - ATM Center Nyuh Kuning Ubud,Jl. Raya Nyuh Kuning Pengosekan Ubud,BALI,GIANYAR,-8.527526,115.260415,ATM (Tarik Tunai),ATM
